zone,ward,colony,year,month,mean_ndvi
8,25,662,2018,1,0.529085713475038
8,25,663,2018,1,0.3697009522711212
8,25,971,2018,1,0.1080564360944498
8,25,1361,2018,1,0.1248774125557413
8,25,1397,2018,1,0.0788575771661061
8,25,1398,2018,1,0.1206509287467603
8,25,1570,2018,1,0.0693995307473575
8,25,1571,2018,1,0.0714060335743184
8,25,1687,2018,1,0.098497972650043
8,25,1856,2018,1,0.0731919746705485
8,25,1945,2018,1,0.1859138425716683
8,25,2291,2018,1,0.1194815710186958
8,26,305,2018,1,0.1189431031861739
8,26,986,2018,1,0.2782208206674064
8,26,1934,2018,1,0.15453140378937
8,26,1935,2018,1,0.1424866135055954
8,26,1937,2018,1,0.0841547247268133
8,26,1938,2018,1,0.0979790891870347
8,26,1967,2018,1,0.0612666663765131
8,26,2037,2018,1,0.1402049022526127
8,26,2038,2018,1,0.1190009641853563
8,26,2071,2018,1,0.1268630858955033
8,26,2072,2018,1,0.1475405913750219
8,26,2122,2018,1,0.1186088770627975
8,26,2200,2018,1,0.0631144940853118
7,27,480,2018,1,0.6580250638680498
7,27,483,2018,1,0.5138711842626977
7,27,484,2018,1,0.5056606663111567
7,27,490,2018,1,0.565148701191264
7,27,493,2018,1,0.6324453842877138
7,27,495,2018,1,0.5083094723080781
7,27,967,2018,1,0.1423353099454784
7,27,968,2018,1,0.1426586443753762
7,27,985,2018,1,0.2877253366276556
7,27,988,2018,1,0.1730110275255
7,27,1721,2018,1,0.1381678277435725
7,27,1722,2018,1,0.1309461009174312
7,27,1723,2018,1,0.106706150991474
7,27,1724,2018,1,0.1050022845836014
7,27,1943,2018,1,0.108535220225652
7,27,1944,2018,1,0.1457635265285685
7,27,1946,2018,1,0.1742259084607725
7,27,2097,2018,1,-0.019579404965043
7,27,2267,2018,1,0.2095005214214325
7,27,2286,2018,1,0.2233285903930664
7,28,482,2018,1,0.6452415862986046
7,28,485,2018,1,0.6266613467957814
7,28,489,2018,1,0.5991166638958818
7,28,492,2018,1,0.6532280421810508
7,28,499,2018,1,0.612633647339256
7,28,978,2018,1,0.6075506883592395
7,28,979,2018,1,0.5134522068598777
7,28,980,2018,1,0.6636398696008148
7,28,1909,2018,1,0.1014226080962966
7,28,1910,2018,1,0.0238328717108404
7,28,1911,2018,1,0.0023370906161234
7,28,1912,2018,1,0.3901879257844756
7,28,1913,2018,1,0.073913741192031
7,28,1914,2018,1,0.2848050743042727
7,28,2112,2018,1,0.290747195482254
7,28,2137,2018,1,0.0585556291043758
7,28,2175,2018,1,0.6258766055107117
7,28,2210,2018,1,0.0413376688957214
7,28,2287,2018,1,0.6415565609931946
7,28,2294,2018,1,0.1428571492433548
7,28,2310,2018,1,0.0986372455954551
7,28,2322,2018,1,0.8309891819953918
7,29,486,2018,1,0.5308204134036418
7,29,507,2018,1,0.1702609433702035
7,29,509,2018,1,0.6641340859644173
7,29,510,2018,1,0.5753179899679048
7,29,511,2018,1,0.61752538728188
7,29,512,2018,1,0.650168481203589
7,29,661,2018,1,0.2522781641732139
7,29,871,2018,1,0.3437310444836491
7,29,990,2018,1,0.2830743713807323
7,29,1845,2018,1,0.1400587167312849
7,29,1846,2018,1,0.1527842155953555
7,29,1847,2018,1,0.1343579244183151
7,29,1848,2018,1,0.2560617028259384
7,29,1849,2018,1,0.1036532514129772
7,29,1850,2018,1,0.0974556470876587
7,29,1851,2018,1,0.2845467380895451
7,29,1852,2018,1,0.2956645256916996
7,29,1853,2018,1,0.4494558805684392
7,29,1883,2018,1,0.4622728545300629
7,29,1884,2018,1,0.4998428602066146
7,29,2109,2018,1,0.0535273142158985
7,29,2130,2018,1,-0.0011596443364396
7,29,2199,2018,1,0.5106236934661865
7,29,2202,2018,1,0.010518679395318
9,30,519,2018,1,0.5498518761228472
9,30,597,2018,1,0.4407911929353131
9,30,598,2018,1,0.6160789041018375
9,30,599,2018,1,0.2223691855189357
9,30,615,2018,1,0.3413617395349169
9,30,999,2018,1,0.4070038733492773
9,30,1000,2018,1,0.5648702877875629
9,30,1001,2018,1,0.1716152097131389
9,30,1792,2018,1,0.1482617426668439
9,30,1794,2018,1,0.1785917439427042
9,30,1795,2018,1,0.2396177522028076
9,30,1796,2018,1,0.087716070918091
9,30,1797,2018,1,0.265637785092594
9,30,1815,2018,1,0.1418597433470708
9,30,1816,2018,1,0.4440059687071437
9,30,1819,2018,1,0.1294195459380241
9,30,1820,2018,1,0.1337162258617109
9,30,1821,2018,1,0.2754224358128487
9,30,1822,2018,1,0.1317450506036931
9,30,1953,2018,1,0.5892113885734174
9,30,1954,2018,1,0.3030743525357546
9,30,1955,2018,1,0.4207252639508207
9,30,2110,2018,1,0.2799763679504394
9,30,2111,2018,1,0.1720871478319168
9,30,2149,2018,1,0.0456586815416812
9,30,2156,2018,1,0.0797505751252174
9,30,2254,2018,1,0.0975968614220619
9,30,2313,2018,1,0.0113052418455481
9,31,581,2018,1,0.1025528389537558
9,31,582,2018,1,0.1047889663233901
9,31,604,2018,1,0.0972201860130731
9,31,605,2018,1,0.1225193339816773
9,31,973,2018,1,0.1279618535902503
9,31,1507,2018,1,0.1275673660577512
9,31,2317,2018,1,0.0925632938742637
9,32,579,2018,1,0.0797606629210633
9,32,580,2018,1,0.0783761228154043
9,32,607,2018,1,0.0937959657866379
9,32,608,2018,1,0.0598826518425574
9,32,993,2018,1,0.0689263009891456
9,32,1185,2018,1,0.0575016319997026
9,32,1186,2018,1,0.0544116817987882
9,32,1437,2018,1,0.1070422822824844
9,32,1438,2018,1,0.1602187962094129
9,32,1637,2018,1,0.0705936508489415
9,32,1714,2018,1,0.0609420610933887
9,32,1715,2018,1,0.0677821446019256
9,32,1716,2018,1,0.0655551873855759
9,32,1925,2018,1,0.1326516352016547
9,32,1926,2018,1,0.1873842098939486
9,32,2086,2018,1,0.0492647066712379
9,32,2139,2018,1,0.2756878137588501
9,32,2178,2018,1,0.0441176481544971
9,32,2183,2018,1,0.1334776282310485
9,32,2208,2018,1,0.0481970719993114
8,33,506,2018,1,0.1092135951971448
8,33,970,2018,1,0.0764009120100635
8,33,1410,2018,1,0.4179616092082236
7,34,502,2018,1,0.316666487491492
7,34,503,2018,1,0.153512096759555
7,34,504,2018,1,0.1292910390085988
7,34,505,2018,1,0.1564061652872479
7,34,508,2018,1,0.1201427185457516
7,34,1124,2018,1,0.153455819849439
7,34,1125,2018,1,0.1194144033010834
7,34,1126,2018,1,0.0793571086845012
7,34,1127,2018,1,0.0643184950893643
7,34,1183,2018,1,0.0877641297425438
7,34,1184,2018,1,0.1463462233986553
7,34,1408,2018,1,0.0593068270967037
7,34,1409,2018,1,0.0728749404219164
7,34,1411,2018,1,0.0897741728205467
7,34,1550,2018,1,0.2685529357707778
7,34,1882,2018,1,0.144672511252693
7,34,2207,2018,1,0.1338729709386825
8,35,969,2018,1,0.0849860990133329
8,35,974,2018,1,0.131700257318594
8,35,1129,2018,1,0.083403394352248
8,35,1358,2018,1,0.0911664922642005
8,35,1359,2018,1,0.0836733106582883
8,35,1360,2018,1,0.0753241988764439
