,district_code,district,year,month,lst,night_lst,ndvi,total_population,built_up_area_sq_m,built_up_area_sq_km
3689,17748,Shahdol,2021,6,33.74382185129319,22.574000898926784,0.5533891176559617,1535127.6,67629954.37254901,67.62995437254901
3690,17748,Shahdol,2021,7,33.86486406358064,22.556095046372526,0.4394505135343301,1535127.6,67629954.37254901,67.62995437254901
3691,17748,Shahdol,2021,8,30.34676315420734,22.13270455706356,0.5860350030253996,1535127.6,67629954.37254901,67.62995437254901
3692,17748,Shahdol,2021,9,29.01110409271177,22.31336197804657,0.670891142547362,1535127.6,67629954.37254901,67.62995437254901
3693,17748,Shahdol,2021,10,29.69745520046565,18.054485046639137,0.6126690177418619,1535127.6,67629954.37254901,67.62995437254901
3694,17748,Shahdol,2021,11,27.82841029244122,12.861746906685656,0.525453353399855,1535127.6,67629954.37254901,67.62995437254901
3695,17748,Shahdol,2021,12,24.56959223641207,11.128237409486848,0.4678264800538751,1535127.6,67629954.37254901,67.62995437254901
3696,17748,Shahdol,2022,1,22.36546810476348,12.24582706421516,0.4741881653378865,1548805.2,70220650.44705881,70.22065044705882
3697,17748,Shahdol,2022,2,27.218716535962017,16.79296875000002,0.4583741793177505,1548805.2,70220650.44705881,70.22065044705882
3698,17748,Shahdol,2022,3,38.8180454212,21.64500000000004,0.3741994588534699,1548805.2,70220650.44705881,70.22065044705882
3699,17748,Shahdol,2022,4,43.32109606886891,23.90762239068791,0.3115751648987447,1548805.2,70220650.44705881,70.22065044705882
3700,17748,Shahdol,2022,5,40.48407956889815,21.838190060005243,0.3210557823753963,1548805.2,70220650.44705881,70.22065044705882
3701,17748,Shahdol,2022,6,39.611654629428806,23.40380734524124,0.4340981419444995,1548805.2,70220650.44705881,70.22065044705882
3702,17748,Shahdol,2022,7,32.63608406995564,21.95184786057021,0.4606671876028366,1548805.2,70220650.44705881,70.22065044705882
3703,17748,Shahdol,2022,8,28.44515464115928,20.64409967747128,0.616367983332364,1548805.2,70220650.44705881,70.22065044705882
3704,17748,Shahdol,2022,9,29.171721268132,21.649849978124426,0.6713691459432002,1548805.2,70220650.44705881,70.22065044705882
3705,17748,Shahdol,2022,10,27.95420294628193,22.48126839046665,0.6315443378187874,1548805.2,70220650.44705881,70.22065044705882
