district_code,district,year,built_up_area_sq_m,built_up_area_sq_km,month
17753,Tikamgarh,2025,47376321.89411766,47.37632189411766,10
17753,Tikamgarh,2025,47376321.89411766,47.37632189411766,11
17753,Tikamgarh,2025,47376321.89411766,47.37632189411766,12
17754,Ujjain,2015,67437204.92156863,67.43720492156864,1
17754,Ujjain,2015,67437204.92156863,67.43720492156864,2
17754,Ujjain,2015,67437204.92156863,67.43720492156864,3
17754,Ujjain,2015,67437204.92156863,67.43720492156864,4
17754,Ujjain,2015,67437204.92156863,67.43720492156864,5
17754,Ujjain,2015,67437204.92156863,67.43720492156864,6
17754,Ujjain,2015,67437204.92156863,67.43720492156864,7
17754,Ujjain,2015,67437204.92156863,67.43720492156864,8
17754,Ujjain,2015,67437204.92156863,67.43720492156864,9
17754,Ujjain,2015,67437204.92156863,67.43720492156864,10
17754,Ujjain,2015,67437204.92156863,67.43720492156864,11
17754,Ujjain,2015,67437204.92156863,67.43720492156864,12
17754,Ujjain,2016,68066604.88941176,68.06660488941176,1
17754,Ujjain,2016,68066604.88941176,68.06660488941176,2
17754,Ujjain,2016,68066604.88941176,68.06660488941176,3
17754,Ujjain,2016,68066604.88941176,68.06660488941176,4
17754,Ujjain,2016,68066604.88941176,68.06660488941176,5
17754,Ujjain,2016,68066604.88941176,68.06660488941176,6
17754,Ujjain,2016,68066604.88941176,68.06660488941176,7
17754,Ujjain,2016,68066604.88941176,68.06660488941176,8
17754,Ujjain,2016,68066604.88941176,68.06660488941176,9
17754,Ujjain,2016,68066604.88941176,68.06660488941176,10
17754,Ujjain,2016,68066604.88941176,68.06660488941176,11
17754,Ujjain,2016,68066604.88941176,68.06660488941176,12
17754,Ujjain,2017,68696004.85725491,68.6960048572549,1
17754,Ujjain,2017,68696004.85725491,68.6960048572549,2
17754,Ujjain,2017,68696004.85725491,68.6960048572549,3
17754,Ujjain,2017,68696004.85725491,68.6960048572549,4
17754,Ujjain,2017,68696004.85725491,68.6960048572549,5
17754,Ujjain,2017,68696004.85725491,68.6960048572549,6
17754,Ujjain,2017,68696004.85725491,68.6960048572549,7
17754,Ujjain,2017,68696004.85725491,68.6960048572549,8
17754,Ujjain,2017,68696004.85725491,68.6960048572549,9
17754,Ujjain,2017,68696004.85725491,68.6960048572549,10
17754,Ujjain,2017,68696004.85725491,68.6960048572549,11
17754,Ujjain,2017,68696004.85725491,68.6960048572549,12
17754,Ujjain,2018,69325404.82509804,69.32540482509803,1
17754,Ujjain,2018,69325404.82509804,69.32540482509803,2
17754,Ujjain,2018,69325404.82509804,69.32540482509803,3
17754,Ujjain,2018,69325404.82509804,69.32540482509803,4
17754,Ujjain,2018,69325404.82509804,69.32540482509803,5
17754,Ujjain,2018,69325404.82509804,69.32540482509803,6
17754,Ujjain,2018,69325404.82509804,69.32540482509803,7
17754,Ujjain,2018,69325404.82509804,69.32540482509803,8
17754,Ujjain,2018,69325404.82509804,69.32540482509803,9
17754,Ujjain,2018,69325404.82509804,69.32540482509803,10
17754,Ujjain,2018,69325404.82509804,69.32540482509803,11
17754,Ujjain,2018,69325404.82509804,69.32540482509803,12
17754,Ujjain,2019,69954804.79294118,69.95480479294119,1
17754,Ujjain,2019,69954804.79294118,69.95480479294119,2
17754,Ujjain,2019,69954804.79294118,69.95480479294119,3
17754,Ujjain,2019,69954804.79294118,69.95480479294119,4
17754,Ujjain,2019,69954804.79294118,69.95480479294119,5
17754,Ujjain,2019,69954804.79294118,69.95480479294119,6
17754,Ujjain,2019,69954804.79294118,69.95480479294119,7
17754,Ujjain,2019,69954804.79294118,69.95480479294119,8
17754,Ujjain,2019,69954804.79294118,69.95480479294119,9
17754,Ujjain,2019,69954804.79294118,69.95480479294119,10
17754,Ujjain,2019,69954804.79294118,69.95480479294119,11
17754,Ujjain,2019,69954804.79294118,69.95480479294119,12
17754,Ujjain,2020,70584204.76078431,70.58420476078432,1
17754,Ujjain,2020,70584204.76078431,70.58420476078432,2
17754,Ujjain,2020,70584204.76078431,70.58420476078432,3
17754,Ujjain,2020,70584204.76078431,70.58420476078432,4
17754,Ujjain,2020,70584204.76078431,70.58420476078432,5
17754,Ujjain,2020,70584204.76078431,70.58420476078432,6
17754,Ujjain,2020,70584204.76078431,70.58420476078432,7
17754,Ujjain,2020,70584204.76078431,70.58420476078432,8
17754,Ujjain,2020,70584204.76078431,70.58420476078432,9
17754,Ujjain,2020,70584204.76078431,70.58420476078432,10
17754,Ujjain,2020,70584204.76078431,70.58420476078432,11
17754,Ujjain,2020,70584204.76078431,70.58420476078432,12
17754,Ujjain,2021,71323171.1137255,71.3231711137255,1
17754,Ujjain,2021,71323171.1137255,71.3231711137255,2
17754,Ujjain,2021,71323171.1137255,71.3231711137255,3
17754,Ujjain,2021,71323171.1137255,71.3231711137255,4
17754,Ujjain,2021,71323171.1137255,71.3231711137255,5
17754,Ujjain,2021,71323171.1137255,71.3231711137255,6
17754,Ujjain,2021,71323171.1137255,71.3231711137255,7
17754,Ujjain,2021,71323171.1137255,71.3231711137255,8
17754,Ujjain,2021,71323171.1137255,71.3231711137255,9
17754,Ujjain,2021,71323171.1137255,71.3231711137255,10
17754,Ujjain,2021,71323171.1137255,71.3231711137255,11
17754,Ujjain,2021,71323171.1137255,71.3231711137255,12
17754,Ujjain,2022,72062137.46666667,72.06213746666667,1
17754,Ujjain,2022,72062137.46666667,72.06213746666667,2
17754,Ujjain,2022,72062137.46666667,72.06213746666667,3
17754,Ujjain,2022,72062137.46666667,72.06213746666667,4
17754,Ujjain,2022,72062137.46666667,72.06213746666667,5
17754,Ujjain,2022,72062137.46666667,72.06213746666667,6
17754,Ujjain,2022,72062137.46666667,72.06213746666667,7
17754,Ujjain,2022,72062137.46666667,72.06213746666667,8
17754,Ujjain,2022,72062137.46666667,72.06213746666667,9
17754,Ujjain,2022,72062137.46666667,72.06213746666667,10
17754,Ujjain,2022,72062137.46666667,72.06213746666667,11
17754,Ujjain,2022,72062137.46666667,72.06213746666667,12
17754,Ujjain,2023,72801103.81960785,72.80110381960786,1
17754,Ujjain,2023,72801103.81960785,72.80110381960786,2
17754,Ujjain,2023,72801103.81960785,72.80110381960786,3
17754,Ujjain,2023,72801103.81960785,72.80110381960786,4
17754,Ujjain,2023,72801103.81960785,72.80110381960786,5
17754,Ujjain,2023,72801103.81960785,72.80110381960786,6
17754,Ujjain,2023,72801103.81960785,72.80110381960786,7
17754,Ujjain,2023,72801103.81960785,72.80110381960786,8
17754,Ujjain,2023,72801103.81960785,72.80110381960786,9
17754,Ujjain,2023,72801103.81960785,72.80110381960786,10
17754,Ujjain,2023,72801103.81960785,72.80110381960786,11
17754,Ujjain,2023,72801103.81960785,72.80110381960786,12
17754,Ujjain,2024,73540070.17254902,73.54007017254902,1
17754,Ujjain,2024,73540070.17254902,73.54007017254902,2
17754,Ujjain,2024,73540070.17254902,73.54007017254902,3
17754,Ujjain,2024,73540070.17254902,73.54007017254902,4
17754,Ujjain,2024,73540070.17254902,73.54007017254902,5
17754,Ujjain,2024,73540070.17254902,73.54007017254902,6
17754,Ujjain,2024,73540070.17254902,73.54007017254902,7
17754,Ujjain,2024,73540070.17254902,73.54007017254902,8
17754,Ujjain,2024,73540070.17254902,73.54007017254902,9
17754,Ujjain,2024,73540070.17254902,73.54007017254902,10
17754,Ujjain,2024,73540070.17254902,73.54007017254902,11
17754,Ujjain,2024,73540070.17254902,73.54007017254902,12
17754,Ujjain,2025,74279036.52549021,74.27903652549021,1
17754,Ujjain,2025,74279036.52549021,74.27903652549021,2
17754,Ujjain,2025,74279036.52549021,74.27903652549021,3
17754,Ujjain,2025,74279036.52549021,74.27903652549021,4
17754,Ujjain,2025,74279036.52549021,74.27903652549021,5
17754,Ujjain,2025,74279036.52549021,74.27903652549021,6
17754,Ujjain,2025,74279036.52549021,74.27903652549021,7
17754,Ujjain,2025,74279036.52549021,74.27903652549021,8
17754,Ujjain,2025,74279036.52549021,74.27903652549021,9
17754,Ujjain,2025,74279036.52549021,74.27903652549021,10
17754,Ujjain,2025,74279036.52549021,74.27903652549021,11
17754,Ujjain,2025,74279036.52549021,74.27903652549021,12
70177,Umaria,2015,13936889.521568628,13.936889521568627,1
70177,Umaria,2015,13936889.521568628,13.936889521568627,2
70177,Umaria,2015,13936889.521568628,13.936889521568627,3
70177,Umaria,2015,13936889.521568628,13.936889521568627,4
70177,Umaria,2015,13936889.521568628,13.936889521568627,5
70177,Umaria,2015,13936889.521568628,13.936889521568627,6
70177,Umaria,2015,13936889.521568628,13.936889521568627,7
70177,Umaria,2015,13936889.521568628,13.936889521568627,8
70177,Umaria,2015,13936889.521568628,13.936889521568627,9
70177,Umaria,2015,13936889.521568628,13.936889521568627,10
70177,Umaria,2015,13936889.521568628,13.936889521568627,11
70177,Umaria,2015,13936889.521568628,13.936889521568627,12
70177,Umaria,2016,14625276.138039216,14.625276138039217,1
70177,Umaria,2016,14625276.138039216,14.625276138039217,2
70177,Umaria,2016,14625276.138039216,14.625276138039217,3
70177,Umaria,2016,14625276.138039216,14.625276138039217,4
70177,Umaria,2016,14625276.138039216,14.625276138039217,5
70177,Umaria,2016,14625276.138039216,14.625276138039217,6
70177,Umaria,2016,14625276.138039216,14.625276138039217,7
70177,Umaria,2016,14625276.138039216,14.625276138039217,8
70177,Umaria,2016,14625276.138039216,14.625276138039217,9
70177,Umaria,2016,14625276.138039216,14.625276138039217,10
70177,Umaria,2016,14625276.138039216,14.625276138039217,11
70177,Umaria,2016,14625276.138039216,14.625276138039217,12
70177,Umaria,2017,15313662.754509803,15.313662754509803,1
70177,Umaria,2017,15313662.754509803,15.313662754509803,2
70177,Umaria,2017,15313662.754509803,15.313662754509803,3
70177,Umaria,2017,15313662.754509803,15.313662754509803,4
70177,Umaria,2017,15313662.754509803,15.313662754509803,5
70177,Umaria,2017,15313662.754509803,15.313662754509803,6
70177,Umaria,2017,15313662.754509803,15.313662754509803,7
70177,Umaria,2017,15313662.754509803,15.313662754509803,8
70177,Umaria,2017,15313662.754509803,15.313662754509803,9
70177,Umaria,2017,15313662.754509803,15.313662754509803,10
70177,Umaria,2017,15313662.754509803,15.313662754509803,11
70177,Umaria,2017,15313662.754509803,15.313662754509803,12
70177,Umaria,2018,16002049.370980391,16.00204937098039,1
70177,Umaria,2018,16002049.370980391,16.00204937098039,2
70177,Umaria,2018,16002049.370980391,16.00204937098039,3
70177,Umaria,2018,16002049.370980391,16.00204937098039,4
70177,Umaria,2018,16002049.370980391,16.00204937098039,5
70177,Umaria,2018,16002049.370980391,16.00204937098039,6
70177,Umaria,2018,16002049.370980391,16.00204937098039,7
70177,Umaria,2018,16002049.370980391,16.00204937098039,8
70177,Umaria,2018,16002049.370980391,16.00204937098039,9
70177,Umaria,2018,16002049.370980391,16.00204937098039,10
70177,Umaria,2018,16002049.370980391,16.00204937098039,11
70177,Umaria,2018,16002049.370980391,16.00204937098039,12
70177,Umaria,2019,16690435.98745098,16.69043598745098,1
70177,Umaria,2019,16690435.98745098,16.69043598745098,2
70177,Umaria,2019,16690435.98745098,16.69043598745098,3
70177,Umaria,2019,16690435.98745098,16.69043598745098,4
70177,Umaria,2019,16690435.98745098,16.69043598745098,5
70177,Umaria,2019,16690435.98745098,16.69043598745098,6
70177,Umaria,2019,16690435.98745098,16.69043598745098,7
70177,Umaria,2019,16690435.98745098,16.69043598745098,8
70177,Umaria,2019,16690435.98745098,16.69043598745098,9
70177,Umaria,2019,16690435.98745098,16.69043598745098,10
70177,Umaria,2019,16690435.98745098,16.69043598745098,11
70177,Umaria,2019,16690435.98745098,16.69043598745098,12
70177,Umaria,2020,17378822.603921566,17.378822603921567,1
70177,Umaria,2020,17378822.603921566,17.378822603921567,2
70177,Umaria,2020,17378822.603921566,17.378822603921567,3
70177,Umaria,2020,17378822.603921566,17.378822603921567,4
70177,Umaria,2020,17378822.603921566,17.378822603921567,5
70177,Umaria,2020,17378822.603921566,17.378822603921567,6
70177,Umaria,2020,17378822.603921566,17.378822603921567,7
70177,Umaria,2020,17378822.603921566,17.378822603921567,8
70177,Umaria,2020,17378822.603921566,17.378822603921567,9
70177,Umaria,2020,17378822.603921566,17.378822603921567,10
70177,Umaria,2020,17378822.603921566,17.378822603921567,11
70177,Umaria,2020,17378822.603921566,17.378822603921567,12
70177,Umaria,2021,17929505.44862745,17.92950544862745,1
70177,Umaria,2021,17929505.44862745,17.92950544862745,2
70177,Umaria,2021,17929505.44862745,17.92950544862745,3
70177,Umaria,2021,17929505.44862745,17.92950544862745,4
70177,Umaria,2021,17929505.44862745,17.92950544862745,5
70177,Umaria,2021,17929505.44862745,17.92950544862745,6
70177,Umaria,2021,17929505.44862745,17.92950544862745,7
70177,Umaria,2021,17929505.44862745,17.92950544862745,8
70177,Umaria,2021,17929505.44862745,17.92950544862745,9
70177,Umaria,2021,17929505.44862745,17.92950544862745,10
70177,Umaria,2021,17929505.44862745,17.92950544862745,11
70177,Umaria,2021,17929505.44862745,17.92950544862745,12
70177,Umaria,2022,18480188.293333333,18.480188293333335,1
70177,Umaria,2022,18480188.293333333,18.480188293333335,2
70177,Umaria,2022,18480188.293333333,18.480188293333335,3
70177,Umaria,2022,18480188.293333333,18.480188293333335,4
70177,Umaria,2022,18480188.293333333,18.480188293333335,5
70177,Umaria,2022,18480188.293333333,18.480188293333335,6
70177,Umaria,2022,18480188.293333333,18.480188293333335,7
70177,Umaria,2022,18480188.293333333,18.480188293333335,8
70177,Umaria,2022,18480188.293333333,18.480188293333335,9
70177,Umaria,2022,18480188.293333333,18.480188293333335,10
70177,Umaria,2022,18480188.293333333,18.480188293333335,11
70177,Umaria,2022,18480188.293333333,18.480188293333335,12
70177,Umaria,2023,19030871.138039213,19.030871138039213,1
70177,Umaria,2023,19030871.138039213,19.030871138039213,2
70177,Umaria,2023,19030871.138039213,19.030871138039213,3
70177,Umaria,2023,19030871.138039213,19.030871138039213,4
70177,Umaria,2023,19030871.138039213,19.030871138039213,5
70177,Umaria,2023,19030871.138039213,19.030871138039213,6
70177,Umaria,2023,19030871.138039213,19.030871138039213,7
70177,Umaria,2023,19030871.138039213,19.030871138039213,8
70177,Umaria,2023,19030871.138039213,19.030871138039213,9
70177,Umaria,2023,19030871.138039213,19.030871138039213,10
70177,Umaria,2023,19030871.138039213,19.030871138039213,11
70177,Umaria,2023,19030871.138039213,19.030871138039213,12
70177,Umaria,2024,19581553.982745096,19.581553982745096,1
70177,Umaria,2024,19581553.982745096,19.581553982745096,2
70177,Umaria,2024,19581553.982745096,19.581553982745096,3
70177,Umaria,2024,19581553.982745096,19.581553982745096,4
70177,Umaria,2024,19581553.982745096,19.581553982745096,5
70177,Umaria,2024,19581553.982745096,19.581553982745096,6
70177,Umaria,2024,19581553.982745096,19.581553982745096,7
70177,Umaria,2024,19581553.982745096,19.581553982745096,8
70177,Umaria,2024,19581553.982745096,19.581553982745096,9
70177,Umaria,2024,19581553.982745096,19.581553982745096,10
70177,Umaria,2024,19581553.982745096,19.581553982745096,11
70177,Umaria,2024,19581553.982745096,19.581553982745096,12
70177,Umaria,2025,20132236.82745098,20.132236827450978,1
70177,Umaria,2025,20132236.82745098,20.132236827450978,2
70177,Umaria,2025,20132236.82745098,20.132236827450978,3
70177,Umaria,2025,20132236.82745098,20.132236827450978,4
70177,Umaria,2025,20132236.82745098,20.132236827450978,5
70177,Umaria,2025,20132236.82745098,20.132236827450978,6
70177,Umaria,2025,20132236.82745098,20.132236827450978,7
70177,Umaria,2025,20132236.82745098,20.132236827450978,8
70177,Umaria,2025,20132236.82745098,20.132236827450978,9
70177,Umaria,2025,20132236.82745098,20.132236827450978,10
70177,Umaria,2025,20132236.82745098,20.132236827450978,11
70177,Umaria,2025,20132236.82745098,20.132236827450978,12
17755,Vidisha,2015,36119397.725490205,36.1193977254902,1
17755,Vidisha,2015,36119397.725490205,36.1193977254902,2
17755,Vidisha,2015,36119397.725490205,36.1193977254902,3
17755,Vidisha,2015,36119397.725490205,36.1193977254902,4
17755,Vidisha,2015,36119397.725490205,36.1193977254902,5
17755,Vidisha,2015,36119397.725490205,36.1193977254902,6
17755,Vidisha,2015,36119397.725490205,36.1193977254902,7
17755,Vidisha,2015,36119397.725490205,36.1193977254902,8
17755,Vidisha,2015,36119397.725490205,36.1193977254902,9
17755,Vidisha,2015,36119397.725490205,36.1193977254902,10
17755,Vidisha,2015,36119397.725490205,36.1193977254902,11
17755,Vidisha,2015,36119397.725490205,36.1193977254902,12
17755,Vidisha,2016,37060493.157647066,37.060493157647066,1
17755,Vidisha,2016,37060493.157647066,37.060493157647066,2
17755,Vidisha,2016,37060493.157647066,37.060493157647066,3
17755,Vidisha,2016,37060493.157647066,37.060493157647066,4
17755,Vidisha,2016,37060493.157647066,37.060493157647066,5
17755,Vidisha,2016,37060493.157647066,37.060493157647066,6
17755,Vidisha,2016,37060493.157647066,37.060493157647066,7
17755,Vidisha,2016,37060493.157647066,37.060493157647066,8
17755,Vidisha,2016,37060493.157647066,37.060493157647066,9
17755,Vidisha,2016,37060493.157647066,37.060493157647066,10
17755,Vidisha,2016,37060493.157647066,37.060493157647066,11
17755,Vidisha,2016,37060493.157647066,37.060493157647066,12
17755,Vidisha,2017,38001588.58980393,38.00158858980393,1
17755,Vidisha,2017,38001588.58980393,38.00158858980393,2
17755,Vidisha,2017,38001588.58980393,38.00158858980393,3
17755,Vidisha,2017,38001588.58980393,38.00158858980393,4
17755,Vidisha,2017,38001588.58980393,38.00158858980393,5
17755,Vidisha,2017,38001588.58980393,38.00158858980393,6
17755,Vidisha,2017,38001588.58980393,38.00158858980393,7
17755,Vidisha,2017,38001588.58980393,38.00158858980393,8
17755,Vidisha,2017,38001588.58980393,38.00158858980393,9
17755,Vidisha,2017,38001588.58980393,38.00158858980393,10
17755,Vidisha,2017,38001588.58980393,38.00158858980393,11
17755,Vidisha,2017,38001588.58980393,38.00158858980393,12
17755,Vidisha,2018,38942684.021960795,38.942684021960794,1
17755,Vidisha,2018,38942684.021960795,38.942684021960794,2
17755,Vidisha,2018,38942684.021960795,38.942684021960794,3
17755,Vidisha,2018,38942684.021960795,38.942684021960794,4
17755,Vidisha,2018,38942684.021960795,38.942684021960794,5
17755,Vidisha,2018,38942684.021960795,38.942684021960794,6
17755,Vidisha,2018,38942684.021960795,38.942684021960794,7
17755,Vidisha,2018,38942684.021960795,38.942684021960794,8
17755,Vidisha,2018,38942684.021960795,38.942684021960794,9
17755,Vidisha,2018,38942684.021960795,38.942684021960794,10
17755,Vidisha,2018,38942684.021960795,38.942684021960794,11
17755,Vidisha,2018,38942684.021960795,38.942684021960794,12
17755,Vidisha,2019,39883779.454117656,39.88377945411766,1
17755,Vidisha,2019,39883779.454117656,39.88377945411766,2
17755,Vidisha,2019,39883779.454117656,39.88377945411766,3
17755,Vidisha,2019,39883779.454117656,39.88377945411766,4
17755,Vidisha,2019,39883779.454117656,39.88377945411766,5
17755,Vidisha,2019,39883779.454117656,39.88377945411766,6
17755,Vidisha,2019,39883779.454117656,39.88377945411766,7
17755,Vidisha,2019,39883779.454117656,39.88377945411766,8
