district_code,district,year,month,lst,night_lst
17726,Guna,2017.0,4.0,47.57318684745844,23.650476190476216
17748,Shahdol,2017.0,4.0,44.40571720584541,24.636000000000024
70169,Ashoknagar,2017.0,4.0,47.47909540303044,22.948000000000018
17712,Balaghat,2017.0,4.0,44.0705020826131,22.814009312320945
17714,Betul,2017.0,4.0,47.8462296843341,22.70375000000003
17715,Bhind,2017.0,4.0,44.91440900075717,22.843775768446434
17716,Bhopal,2017.0,4.0,46.63365839540512,25.077460926713442
17718,Chhatarpur,2017.0,4.0,46.442909055478204,24.434570253980457
17719,Chhindwara,2017.0,4.0,48.03690083307812,23.370666666666697
17720,Damoh,2017.0,4.0,48.41794001505695,25.05791270635321
17721,Datia,2017.0,4.0,44.68714275760392,21.806264008208796
17722,Dewas,2017.0,4.0,48.01195797125307,23.28875000000002
17723,Dhar,2017.0,4.0,47.821874766989076,24.735081637056776
17727,Gwalior,2017.0,4.0,44.97118389979617,23.4161326914135
17729,Indore,2017.0,4.0,46.8202494882177,24.402392632226935
17735,Narsinghpur,2017.0,4.0,45.64332616373262,24.16000000000003
17736,Panna,2017.0,4.0,47.271368471344594,25.103333333333367
17739,Raisen,2017.0,4.0,47.317291025182556,22.67242626818721
17742,Ratlam,2017.0,4.0,47.111802174669336,24.254482758620725
17743,Rewa,2017.0,4.0,44.33558993486917,25.223846153846186
17744,Sagar,2017.0,4.0,48.548786569056304,23.695357142857173
17745,Satna,2017.0,4.0,45.05057171210139,26.15392048314044
17746,Sehore,2017.0,4.0,48.29507961972627,22.472882352941202
17747,Seoni,2017.0,4.0,47.89215334081861,21.261333333333354
17749,Shajapur,2017.0,4.0,48.223123577537265,24.09833333333336
17750,Shivpuri,2017.0,4.0,46.44589340090581,22.947113321248363
17751,Sidhi,2017.0,4.0,43.64018590655143,26.870857062306207
17753,Tikamgarh,2017.0,4.0,46.56925968204021,23.63698292843075
17754,Ujjain,2017.0,4.0,46.49135905874161,24.105384615384644
17755,Vidisha,2017.0,4.0,47.7336618764149,23.60571428571431
70171,Burhanpur,2017.0,4.0,49.05770219547621,25.12645161290325
17728,Hoshangabad,2017.0,5.0,44.21188257053014,25.329007521332368
17730,Jabalpur,2017.0,5.0,45.006517154078146,24.265395553036715
17732,Mandla,2017.0,5.0,45.94828304318382,23.648252031217112
17733,Mandsaur,2017.0,5.0,46.273154540418695,26.898514670058447
17734,Morena,2017.0,5.0,44.39950132075374,25.03329583791713
17741,Rajgarh,2017.0,5.0,48.22615729060276,27.311201678852804
17756,West Nimar,2017.0,5.0,49.12397279166326,28.79059992706057
70170,Barwani,2017.0,5.0,48.788999999331985,28.805638322255366
70172,Dindori,2017.0,5.0,44.57085431910954,21.702796590590278
70173,Harda,2017.0,5.0,46.08286015903036,26.58118499283969
70174,Katni,2017.0,5.0,44.81899787198386,23.748775737231846
70175,Neemuch,2017.0,5.0,46.396950775623466,26.481852012628256
70176,Sheopur,2017.0,5.0,46.426390074019,25.422338771343213
70177,Umaria,2017.0,5.0,44.48081750927753,26.186432573877195
17725,East Nimar,2017.0,5.0,47.64860405053374,27.8080134113387
17726,Guna,2017.0,5.0,48.0121184967202,25.966758438722625
17748,Shahdol,2017.0,5.0,44.60393254324974,22.568013568269194
70168,Anuppur,2017.0,5.0,45.13923094506119,24.17757786063103
70169,Ashoknagar,2017.0,5.0,48.30628451897935,23.04578344836066
17712,Balaghat,2017.0,5.0,42.6658356981444,23.83993683271655
17714,Betul,2017.0,5.0,46.91128730721189,26.51443587861256
17715,Bhind,2017.0,5.0,44.49231458540587,25.7487199874925
17716,Bhopal,2017.0,5.0,47.47108921754095,25.336684731533122
17718,Chhatarpur,2017.0,5.0,46.037034574841485,24.670572361188228
17719,Chhindwara,2017.0,5.0,47.00201881776423,25.0368005852291
17720,Damoh,2017.0,5.0,46.89740570221241,26.64904367667879
17721,Datia,2017.0,5.0,44.900012973910094,25.209879612105137
17722,Dewas,2017.0,5.0,48.13866725965586,26.43813858601401
17723,Dhar,2017.0,5.0,47.99674211087457,27.282363674941685
17727,Gwalior,2017.0,5.0,44.29265389709217,26.088460756068585
17729,Indore,2017.0,5.0,47.470826590948086,27.493187908060523
17735,Narsinghpur,2017.0,5.0,44.10458856553476,25.22569209044208
17736,Panna,2017.0,5.0,46.1016745162794,25.040354325954954
17739,Raisen,2017.0,5.0,47.45392545064567,25.37901980115878
17742,Ratlam,2017.0,5.0,47.46564977685415,26.38286735931532
17743,Rewa,2017.0,5.0,43.97255687861426,27.406428571428602
17744,Sagar,2017.0,5.0,48.208385221921866,25.784414748509235
17745,Satna,2017.0,5.0,44.80348841250131,25.57845791479048
17746,Sehore,2017.0,5.0,47.925151669788434,24.810415322494197
17747,Seoni,2017.0,5.0,47.00697968290438,23.79988878595027
17749,Shajapur,2017.0,5.0,48.14967098386352,25.385676116472098
17750,Shivpuri,2017.0,5.0,46.03461751846852,24.898793418423043
17751,Sidhi,2017.0,5.0,43.58017816971193,26.439688017462007
17753,Tikamgarh,2017.0,5.0,46.10435375171419,26.050021050169583
17754,Ujjain,2017.0,5.0,47.48595432439571,25.379013763335802
17755,Vidisha,2017.0,5.0,48.79758804354665,25.18597344222373
70171,Burhanpur,2017.0,5.0,48.32374092606942,28.69942914316903
17728,Hoshangabad,2017.0,6.0,40.56798454750993,26.01125680415868
17730,Jabalpur,2017.0,6.0,42.14508576591737,25.58328333829238
17732,Mandla,2017.0,6.0,40.96411029491144,25.09020377903385
