district_code,district,year,built_up_area_sq_m,built_up_area_sq_km
70168,Anuppur,2025,2.7139941725490198E7,27.139941725490196
70169,Ashoknagar,2025,2.9141986498039216E7,29.141986498039216
17712,Balaghat,2025,6.772232268627448E7,67.72232268627448
17714,Betul,2025,5.395719119607843E7,53.957191196078426
17715,Bhind,2025,4.858491619607843E7,48.584916196078424
17716,Bhopal,2025,7.863122606274512E7,78.63122606274513
17718,Chhatarpur,2025,5.6912903643137254E7,56.912903643137255
17719,Chhindwara,2025,6.905350096862747E7,69.05350096862747
17720,Damoh,2025,3.1647880341176473E7,31.64788034117647
17721,Datia,2025,2.1381576145098034E7,21.381576145098034
17722,Dewas,2025,6.165823858431373E7,61.65823858431373
17723,Dhar,2025,9.846118534509805E7,98.46118534509804
17727,Gwalior,2025,5.834055471372549E7,58.340554713725496
17729,Indore,2025,1.1242464585098036E8,112.42464585098035
17731,Jhabua,2025,8.696860111372547E7,86.96860111372547
17735,Narsinghpur,2025,3.931441038431373E7,39.31441038431373
17736,Panna,2025,3.1504630078431375E7,31.504630078431376
17739,Raisen,2025,4.626349295294118E7,46.26349295294118
17742,Ratlam,2025,6.2287808392156854E7,62.287808392156855
17743,Rewa,2025,8.390408001568627E7,83.90408001568628
17744,Sagar,2025,6.483041886666666E7,64.83041886666666
17745,Satna,2025,7.974933447843137E7,79.74933447843138
17746,Sehore,2025,5.795185992549019E7,57.95185992549019
17747,Seoni,2025,5.012255401568627E7,50.122554015686276
17749,Shajapur,2025,5.424961784705881E7,54.24961784705881
17750,Shivpuri,2025,5.733455256078431E7,57.33455256078431
17751,Sidhi,2025,1.596124048745098E8,159.61240487450982
17753,Tikamgarh,2025,4.737632189411766E7,47.37632189411766
17754,Ujjain,2025,7.427903652549021E7,74.27903652549021
17755,Vidisha,2025,4.5220146972549014E7,45.22014697254902
70171,Burhanpur,2025,1.845754530196079E7,18.45754530196079
