district_code,district,year,month,lst,night_lst,ndvi
70170,Barwani,2019,12,29.5580776114139,17.259195249966638,0.4542009951837209
70170,Barwani,2020,1,28.56114198563852,15.56808032494608,0.4461464819738792
70170,Barwani,2020,2,34.871426556814434,16.792732211574766,0.3982988539223301
70170,Barwani,2020,3,40.84457370104847,21.061107602930058,0.3048766507848632
70170,Barwani,2020,4,48.2404051521826,27.79128529698153,0.2601267642794998
70170,Barwani,2020,5,49.86645658849943,29.709037719037752,0.2451486826292475
70170,Barwani,2020,6,37.09873200117939,23.51722447611064,0.3838463817517414
70170,Barwani,2020,7,33.1801874680583,23.177290964721468,0.5855535705739074
70170,Barwani,2020,8,30.38127650110094,19.927303371637024,0.4986616340300783
70170,Barwani,2020,9,32.381592938562484,22.044115843270927,0.5968284483110999
70170,Barwani,2020,10,34.871974769509926,22.84393807765142,0.4975503295968578
70170,Barwani,2020,11,33.57787468126182,19.567939731957072,0.4314121403433984
70170,Barwani,2020,12,28.33334171722048,17.220656163560214,0.4352206276917383
70170,Barwani,2021,1,29.66621598763858,18.664373981985342,0.4712598301994438
70170,Barwani,2021,2,35.610437558745694,18.23571961497096,0.3640977004919857
70170,Barwani,2021,3,44.458453610382335,21.80399812734085,0.2747512692861026
70170,Barwani,2021,4,47.5152667913228,24.565399859968945,0.2634939395137574
70170,Barwani,2021,5,45.750603152208086,22.766396811998224,0.2554401127769058
70170,Barwani,2021,6,37.82036829358126,22.75848382212752,0.3158724488612352
70170,Barwani,2021,7,40.24072150779807,23.24009683666885,0.2777700376810958
70170,Barwani,2021,8,29.13291689681211,20.37165698776462,0.5204794116282722
70170,Barwani,2021,9,31.04848260261405,22.08968221357776,0.5729457945670465
70170,Barwani,2021,10,32.22004298829806,21.19000388133249,0.6200498754974267
70170,Barwani,2021,11,32.06363461884049,18.320517967177143,0.4976027582280128
70170,Barwani,2021,12,28.06592732138477,17.014687974847405,0.4627574580203455
70170,Barwani,2022,1,28.07105424542005,17.48904060194074,0.4816474730684844
70170,Barwani,2022,2,34.116983504117535,17.65869279454726,0.3933665481923097
70170,Barwani,2022,3,44.78632783069767,22.3562066724437,0.2820296970005305
70170,Barwani,2022,4,47.04201702964535,26.0804546814239,0.2575933201480666
70170,Barwani,2022,5,44.22996961091401,28.77576987215123,0.2243547200804525
70170,Barwani,2022,6,41.9476173059464,25.49922395751697,0.2577043352404219
70170,Barwani,2022,7,29.91035546856578,23.91384293764773,0.2490741917016994
70170,Barwani,2022,8,31.520424344571573,20.05154009857613,0.5899090786235947
70170,Barwani,2022,9,31.27329987794926,22.07279127504876,0.6780416068185047
70170,Barwani,2022,10,33.79876889798313,19.323333333333355,0.5483304347192529
70170,Barwani,2022,11,32.71023812243687,17.034179226736597,0.4632549897188714
70170,Barwani,2022,12,30.004828644702776,19.468555648584143,0.4299614538334326
70170,Barwani,2023,1,28.1814343394667,17.432216793608493,0.4419993615240387
70170,Barwani,2023,2,36.71204305643778,17.149698591549328,0.3925327402095082
70170,Barwani,2023,3,39.547913300586,19.496182027217923,0.3016505105724215
70170,Barwani,2023,4,45.57760033108004,22.92595945865839,0.280735228718466
70170,Barwani,2023,5,46.68081446624696,25.344417174934947,0.2629240427724209
70170,Barwani,2023,6,41.25656674142024,24.481333662259186,0.2341340466415045
