zone,year,month,built_up_percent,method
11,2019,7,71.20940835754888,extrapolated
12,2019,7,79.91091285317381,extrapolated
1,2019,8,76.5142685103546,extrapolated
2,2019,8,64.97203621769562,extrapolated
3,2019,8,33.11407975097622,extrapolated
4,2019,8,62.33502764401641,extrapolated
5,2019,8,64.69585091420535,extrapolated
6,2019,8,49.54265295836874,extrapolated
7,2019,8,20.498585745329734,extrapolated
8,2019,8,63.84137233724749,extrapolated
9,2019,8,27.008754073658952,extrapolated
10,2019,8,67.94152821772576,extrapolated
11,2019,8,71.20940835754888,extrapolated
12,2019,8,79.91091285317381,extrapolated
1,2019,9,76.5142685103546,extrapolated
2,2019,9,64.97203621769562,extrapolated
3,2019,9,33.11407975097622,extrapolated
4,2019,9,62.33502764401641,extrapolated
5,2019,9,64.69585091420535,extrapolated
6,2019,9,49.54265295836874,extrapolated
7,2019,9,20.498585745329734,extrapolated
8,2019,9,63.84137233724749,extrapolated
9,2019,9,27.008754073658952,extrapolated
10,2019,9,67.94152821772576,extrapolated
11,2019,9,71.20940835754888,extrapolated
12,2019,9,79.91091285317381,extrapolated
1,2019,10,76.5142685103546,extrapolated
2,2019,10,64.97203621769562,extrapolated
3,2019,10,33.11407975097622,extrapolated
4,2019,10,62.33502764401641,extrapolated
5,2019,10,64.69585091420535,extrapolated
6,2019,10,49.54265295836874,extrapolated
7,2019,10,20.498585745329734,extrapolated
8,2019,10,63.84137233724749,extrapolated
9,2019,10,27.008754073658952,extrapolated
10,2019,10,67.94152821772576,extrapolated
11,2019,10,71.20940835754888,extrapolated
12,2019,10,79.91091285317381,extrapolated
1,2019,11,76.5142685103546,extrapolated
2,2019,11,64.97203621769562,extrapolated
3,2019,11,33.11407975097622,extrapolated
4,2019,11,62.33502764401641,extrapolated
5,2019,11,64.69585091420535,extrapolated
6,2019,11,49.54265295836874,extrapolated
7,2019,11,20.498585745329734,extrapolated
8,2019,11,63.84137233724749,extrapolated
9,2019,11,27.008754073658952,extrapolated
10,2019,11,67.94152821772576,extrapolated
11,2019,11,71.20940835754888,extrapolated
12,2019,11,79.91091285317381,extrapolated
1,2019,12,76.5142685103546,extrapolated
2,2019,12,64.97203621769562,extrapolated
3,2019,12,33.11407975097622,extrapolated
4,2019,12,62.33502764401641,extrapolated
5,2019,12,64.69585091420535,extrapolated
6,2019,12,49.54265295836874,extrapolated
7,2019,12,20.498585745329734,extrapolated
8,2019,12,63.84137233724749,extrapolated
9,2019,12,27.008754073658952,extrapolated
10,2019,12,67.94152821772576,extrapolated
11,2019,12,71.20940835754888,extrapolated
12,2019,12,79.91091285317381,extrapolated
1,2020,1,80.02838648631212,computed
2,2020,1,72.0098224813665,computed
3,2020,1,32.90230643705386,computed
4,2020,1,64.7732001664586,computed
5,2020,1,69.81540084388186,computed
6,2020,1,52.8268300732637,computed
7,2020,1,21.8434502180295,computed
8,2020,1,66.57260381000528,computed
9,2020,1,28.085786432875803,computed
10,2020,1,71.55982471856154,computed
11,2020,1,75.1563004490886,computed
12,2020,1,83.30421778004113,computed
1,2020,2,80.02838648631212,computed
2,2020,2,72.0098224813665,computed
3,2020,2,32.90230643705386,computed
4,2020,2,64.7732001664586,computed
5,2020,2,69.81540084388186,computed
6,2020,2,52.8268300732637,computed
7,2020,2,21.8434502180295,computed
8,2020,2,66.57260381000528,computed
9,2020,2,28.085786432875803,computed
10,2020,2,71.55982471856154,computed
11,2020,2,75.1563004490886,computed
12,2020,2,83.30421778004113,computed
1,2020,3,80.02838648631212,computed
2,2020,3,72.0098224813665,computed
3,2020,3,32.90230643705386,computed
4,2020,3,64.7732001664586,computed
5,2020,3,69.81540084388186,computed
6,2020,3,52.8268300732637,computed
7,2020,3,21.8434502180295,computed
8,2020,3,66.57260381000528,computed
9,2020,3,28.085786432875803,computed
10,2020,3,71.55982471856154,computed
11,2020,3,75.1563004490886,computed
12,2020,3,83.30421778004113,computed
1,2020,4,80.02838648631212,computed
2,2020,4,72.0098224813665,computed
3,2020,4,32.90230643705386,computed
4,2020,4,64.7732001664586,computed
5,2020,4,69.81540084388186,computed
6,2020,4,52.8268300732637,computed
7,2020,4,21.8434502180295,computed
8,2020,4,66.57260381000528,computed
9,2020,4,28.085786432875803,computed
10,2020,4,71.55982471856154,computed
11,2020,4,75.1563004490886,computed
12,2020,4,83.30421778004113,computed
1,2020,5,80.02838648631212,computed
2,2020,5,72.0098224813665,computed
3,2020,5,32.90230643705386,computed
4,2020,5,64.7732001664586,computed
5,2020,5,69.81540084388186,computed
6,2020,5,52.8268300732637,computed
7,2020,5,21.8434502180295,computed
8,2020,5,66.57260381000528,computed
9,2020,5,28.085786432875803,computed
10,2020,5,71.55982471856154,computed
11,2020,5,75.1563004490886,computed
12,2020,5,83.30421778004113,computed
1,2020,6,80.02838648631212,computed
2,2020,6,72.0098224813665,computed
3,2020,6,32.90230643705386,computed
4,2020,6,64.7732001664586,computed
5,2020,6,69.81540084388186,computed
6,2020,6,52.8268300732637,computed
7,2020,6,21.8434502180295,computed
8,2020,6,66.57260381000528,computed
9,2020,6,28.085786432875803,computed
10,2020,6,71.55982471856154,computed
11,2020,6,75.1563004490886,computed
12,2020,6,83.30421778004113,computed
1,2020,7,80.02838648631212,computed
2,2020,7,72.0098224813665,computed
3,2020,7,32.90230643705386,computed
